"Date","Open","High","Low","Close","Volume","Weekday","DayNum","Month","MACD","MACDSignal","SMA50_Standardized","SMA200_Standardized","DaysToEarnings"
2018-04-02,5.7185001373291,5.86625003814697,5.4375,5.52624988555908,9.22092,"Monday","02","04",-1.24115746307779,0.0594188136028879,1.42240703654982,1.81236576826205,136
2018-04-03,5.69500017166138,5.75874996185303,5.53375005722046,5.63374996185303,6.67432,"Tuesday","03","04",-1.46122401067088,-0.244709751251866,1.36060825767907,1.80522864625459,135
2018-04-04,5.3752498626709,5.66650009155273,5.34999990463257,5.6560001373291,7.89168,"Wednesday","04","04",-1.58841250374387,-0.513450301750268,1.29797978921266,1.7985083593213,134
2018-04-05,5.71500015258789,5.72825002670288,5.46225023269653,5.53450012207031,7.0124,"Thursday","05","04",-1.83901262929136,-0.778562767258486,1.22121553241185,1.79010141937381,133
2018-04-06,5.43074989318848,5.53999996185303,5.32674980163574,5.35624980926514,6.62988,"Friday","06","04",-2.26571107969179,-1.07599242974515,1.1405254003952,1.78067763757166,132
2018-04-09,5.42000007629395,5.54925012588501,5.36499977111816,5.38525009155273,4.99524,"Monday","09","04",-2.53949360453757,-1.36869266470363,1.06373793425629,1.77122461669174,129
2018-04-10,5.61800003051758,5.72499990463257,5.56024980545044,5.69775009155273,7.61676,"Tuesday","10","04",-2.28781423092437,-1.55251697794778,0.998737541053437,1.76426891088908,128
2018-04-11,5.68275022506714,5.72450017929077,5.6230001449585,5.6560001373291,4.60244,"Wednesday","11","04",-2.12318960489977,-1.66665150333818,0.925490630613891,1.75793243196421,127
2018-04-12,5.75,5.88299989700317,5.70524978637695,5.86499977111816,5.9392,"Thursday","12","04",-1.67663721451307,-1.66864864557315,0.876500194855731,1.75342311542986,126
2018-04-13,5.92924976348877,5.9377498626709,5.73874998092651,5.78749990463257,5.03036,"Friday","13","04",-1.41631162135741,-1.61818124073001,0.816280196608901,1.74941781053574,125
2018-04-16,5.79425001144409,5.82100009918213,5.69199991226196,5.78725004196167,3.50792,"Monday","16","04",-1.19656532900266,-1.53385805838454,0.766764707691438,1.74460148551432,122
2018-04-17,5.84000015258789,5.96000003814697,5.78375005722046,5.93849992752075,4.47224,"Tuesday","17","04",-0.800690410021987,-1.38722452871203,0.743814507926565,1.74176301433838,121
2018-04-18,5.88749980926514,5.98124980926514,5.81925010681152,5.90924978256226,3.91364,"Wednesday","18","04",-0.522734887481979,-1.21432660046602,0.760539840883956,1.73913999447473,120
2018-04-19,5.79374980926514,5.8274998664856,5.67000007629395,5.72599983215332,4.71996,"Thursday","19","04",-0.552258300060116,-1.08191294038484,0.738367287477269,1.73622457021055,119
2018-04-20,5.71724987030029,5.80249977111816,5.68625020980835,5.71775007247925,3.862,"Friday","20","04",-0.580634162219529,-0.981657184751776,0.709418147548814,1.73268906622038,118
2018-04-23,5.73575019836426,5.78749990463257,5.57075023651123,5.59700012207031,4.27508,"Monday","23","04",-0.763975872924982,-0.938120922386417,0.696412242115313,1.72834462364365,115
2018-04-24,5.6230001449585,5.71999979019165,5.46400022506714,5.53000020980835,4.14596,"Tuesday","24","04",-0.99342241163205,-0.949181220235544,0.643241280944079,1.72308573738571,114
2018-04-25,5.5,5.53950023651123,5.25750017166138,5.41650009155273,5.88492,"Wednesday","25","04",-1.32297721897278,-1.02394041998299,0.587282133092999,1.71599309341231,113
2018-04-26,5.57999992370605,5.63875007629395,5.51324987411499,5.63049983978271,3.75824,"Thursday","26","04",-1.26669104748219,-1.07249054548283,0.539764101056942,1.71011665837037,112
2018-04-27,5.73750019073486,5.75750017166138,5.61549997329712,5.6582498550415,4.00848,"Friday","27","04",-1.16914888625471,-1.09182221363721,0.467816294880747,1.70341341858998,111
2018-04-30,5.67474985122681,5.72499990463257,5.60300016403198,5.62249994277954,3.27844,"Monday","30","04",-1.12981197083544,-1.09942016507685,0.370161311475289,1.69690937897511,108
2018-05-01,5.61425018310547,5.68125009536743,5.55499982833862,5.67850017547607,2.53788,"Tuesday","01","05",-1.00723853712069,-1.08098383948562,0.279604233775204,1.6901708264163,107
2018-05-02,5.67500019073486,5.71999979019165,5.63124990463257,5.65775012969971,2.68248,"Wednesday","02","05",-0.928942860045701,-1.05057564359764,0.158615661613877,1.68353266424605,106
2018-05-03,5.69000005722046,5.85125017166138,5.64424991607666,5.82474994659424,4.43144,"Thursday","03","05",-0.622130657839881,-0.964886646446086,0.0787093748381144,1.6778505049527,105
2018-05-04,5.7957501411438,5.97975015640259,5.77825021743774,5.97650003433228,4.0066,"Friday","04","05",-0.163458147344364,-0.804600946625741,0.0128044979638936,1.67343863334088,104
2018-05-07,6.08225011825562,6.27475023269653,6.07224988937378,6.21700000762939,6.87616,"Monday","07","05",0.52732177862036,-0.538216401576521,-0.0334073149734908,1.67031727502852,101
2018-05-08,6.21724987030029,6.26275014877319,6.16774988174438,6.26000022888184,5.06616,"Tuesday","08","05",1.11418020786,-0.207737079689216,-0.0774814517159391,1.66743296838724,100
2018-05-09,6.28025007247925,6.39674997329712,6.25274991989136,6.39449977874756,5.9676,"Wednesday","09","05",1.73559778688706,0.180929893626038,-0.0913019566686603,1.66582958071238,99
2018-05-10,6.44799995422363,6.51249980926514,6.42999982833862,6.50325012207031,9.9408,"Thursday","10","05",2.33813209712137,0.612370334325105,-0.0517669563855832,1.66511511737092,98
